Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Charles Darwin","","","","F44336",1,"Ball","5","","","","No","","",""
"2","On Origin Species","","","","F44336",1,"Ball","5","","","","No","","",""
"3","Theory Shook World","","","","F44336",1,"Ball","5","","","","No","","",""
"4","Fundamentals","","","","F44336",1,"Ball","5","","","","No","","",""
"5","Natural Selection","","","","F44336",1,"Ball","5","","","","No","","",""
"6","Variability","","","","F44336",1,"Ball","5","","","","No","","",""
"7","Genetic Heritability","","","","F44336",1,"Ball","5","","","","No","","",""
"8","Diff. Reprod. Success","","","","F44336",1,"Ball","5","","","","No","","",""
"9","Negative Selection","","","","F44336",1,"Ball","5","","","","No","","",""
"10","Adaptation","","","","F44336",1,"Ball","5","","","","No","","",""
"11","Status Quo","","","","F44336",1,"Ball","5","","","","No","","",""
"12","Env. Changes","","","","F44336",1,"Ball","5","","","","No","","",""
"13","Hum. Body History","","","","F44336",1,"Ball","5","","","","No","","",""
"14","","","","","171717",1,"Solid",1,"","","","","","null","1"
"15","","","","","171717",1,"Solid",1,"","","","","","1","2"
"16","","","","","171717",1,"Solid",1,"","","","","","2","3"
"17","","","","","171717",1,"Solid",1,"","","","","","2","4"
"18","","","","","171717",1,"Solid",1,"","","","","","4","5"
"19","","","","","171717",1,"Solid",1,"","","","","","5","6"
"20","","","","","171717",1,"Solid",1,"","","","","","5","7"
"21","","","","","171717",1,"Solid",1,"","","","","","5","8"
"22","","","","","171717",1,"Solid",1,"","","","","","5","9"
"23","","","","","171717",1,"Solid",1,"","","","","","5","10"
"24","","","","","171717",1,"Solid",1,"","","","","","9","11"
"25","","","","","171717",1,"Solid",1,"","","","","","10","12"
"26","","","","","171717",1,"Solid",1,"","","","","","10","13"
