Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Embryology","","","","E91E63",1,"Box","15",0,0,1,"No","","",""
"4","Animal Cell","","","","FFEB3B",1,"Ball","9.5",0,-2,2,"No","","",""
"3","Phylogeny","","","","FFEB3B",1,"Ball","9.5",1,-1,2,"No","","",""
"2","Ontogeny","","","","FFEB3B",1,"Ball","9.5",-1,-1,2,"No","","",""
"7","Reproduction of Cells","","","","4CAF50",1,"Ball","7.5",0,-4,3,"No","","",""
"6","Nucleus","","","","4CAF50",1,"Ball","7.5",1,-3,3,"No","","",""
"5","Cytoplasm","","","","4CAF50",1,"Ball","7.5",-1,-3,3,"No","","",""
"12","Telophase","","","","00BCD4",1,"Ball","6.5",1,-5,4,"No","","",""
"11","Anaphase","","","","00BCD4",1,"Ball","6.5",-1,-5,4,"No","","",""
"10","Metaphase","","","","00BCD4",1,"Ball","6.5",1,-4,4,"No","","",""
"9","Prophase","","","","00BCD4",1,"Ball","6.5",-1,-4,4,"No","","",""
"8","Indirect Division","","","","00BCD4",1,"Ball","6.5",0,-5,4,"No","","",""
"13","","","","","171717",1,"Solid",1,"","","","","","1","4"
"14","","","","","171717",1,"Solid",1,"","","","","","1","3"
"15","","","","","171717",1,"Solid",1,"","","","","","1","2"
"16","","","","","171717",1,"Solid",1,"","","","","","4","7"
"17","","","","","171717",1,"Solid",1,"","","","","","4","6"
"18","","","","","171717",1,"Solid",1,"","","","","","4","5"
"19","","","","","171717",1,"Solid",1,"","","","","","6","12"
"20","","","","","171717",1,"Solid",1,"","","","","","6","11"
"21","","","","","171717",1,"Solid",1,"","","","","","6","10"
"22","","","","","171717",1,"Solid",1,"","","","","","6","9"
"23","","","","","171717",1,"Solid",1,"","","","","","7","8"
