Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Human anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"2","Systematic anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"3","Histology","","","","F44336",1,"Ball","5","","","","No","","",""
"4","Embryology","","","","F44336",1,"Ball","5","","","","No","","",""
"5","Comparative embryology","","","","F44336",1,"Ball","5","","","","No","","",""
"6","Comparative anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"7","Applied anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"8","Surface anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"9","Osteology","","","","F44336",1,"Ball","5","","","","No","","",""
"10","Syndesmology","","","","F44336",1,"Ball","5","","","","No","","",""
"11","Myology","","","","F44336",1,"Ball","5","","","","No","","",""
"12","Angiology","","","","F44336",1,"Ball","5","","","","No","","",""
"13","Neurology","","","","F44336",1,"Ball","5","","","","No","","",""
"14","Splanchnology","","","","F44336",1,"Ball","5","","","","No","","",""
"15","Thoracic viscera","","","","F44336",1,"Ball","5","","","","No","","",""
"16","Abdomino-pelvic viscera","","","","F44336",1,"Ball","5","","","","No","","",""
"17","Respiratory apparatus","","","","F44336",1,"Ball","5","","","","No","","",""
"18","Digestive apparatus","","","","F44336",1,"Ball","5","","","","No","","",""
"19","Urogenital apparatus","","","","F44336",1,"Ball","5","","","","No","","",""
"20","Median plane","","","","F44336",1,"Ball","5","","","","No","","",""
"21","Sagittal plane","","","","F44336",1,"Ball","5","","","","No","","",""
"22","Frontal plane","","","","F44336",1,"Ball","5","","","","No","","",""
"23","Transverse plane","","","","F44336",1,"Ball","5","","","","No","","",""
"24","Anterior/Ventral","","","","F44336",1,"Ball","5","","","","No","","",""
"25","Posterior/Dorsal","","","","F44336",1,"Ball","5","","","","No","","",""
"26","Superior/Cephalic","","","","F44336",1,"Ball","5","","","","No","","",""
"27","Inferior/Caudal","","","","F44336",1,"Ball","5","","","","No","","",""
"28","Medial/Lateral","","","","F44336",1,"Ball","5","","","","No","","",""
"29","Superficial/Deep","","","","F44336",1,"Ball","5","","","","No","","",""
"30","External/Internal","","","","F44336",1,"Ball","5","","","","No","","",""
"31","Proximal/Distal","","","","F44336",1,"Ball","5","","","","No","","",""
"32","","","","","171717",1,"Solid",1,"","","","","","1","2"
"33","","","","","171717",1,"Solid",1,"","","","","","2","3"
"34","","","","","171717",1,"Solid",1,"","","","","","2","4"
"35","","","","","171717",1,"Solid",1,"","","","","","4","5"
"36","","","","","171717",1,"Solid",1,"","","","","","4","6"
"37","","","","","171717",1,"Solid",1,"","","","","","2","7"
"38","","","","","171717",1,"Solid",1,"","","","","","2","8"
"39","","","","","171717",1,"Solid",1,"","","","","","2","9"
"40","","","","","171717",1,"Solid",1,"","","","","","2","10"
"41","","","","","171717",1,"Solid",1,"","","","","","2","11"
"42","","","","","171717",1,"Solid",1,"","","","","","2","12"
"43","","","","","171717",1,"Solid",1,"","","","","","2","13"
"44","","","","","171717",1,"Solid",1,"","","","","","2","14"
"45","","","","","171717",1,"Solid",1,"","","","","","14","15"
"46","","","","","171717",1,"Solid",1,"","","","","","14","16"
"47","","","","","171717",1,"Solid",1,"","","","","","14","17"
"48","","","","","171717",1,"Solid",1,"","","","","","14","18"
"49","","","","","171717",1,"Solid",1,"","","","","","14","19"
"50","","","","","171717",1,"Solid",1,"","","","","","2","20"
"51","","","","","171717",1,"Solid",1,"","","","","","20","21"
"52","","","","","171717",1,"Solid",1,"","","","","","20","22"
"53","","","","","171717",1,"Solid",1,"","","","","","20","23"
"54","","","","","171717",1,"Solid",1,"","","","","","2","24"
"55","","","","","171717",1,"Solid",1,"","","","","","2","25"
"56","","","","","171717",1,"Solid",1,"","","","","","2","26"
"57","","","","","171717",1,"Solid",1,"","","","","","2","27"
"58","","","","","171717",1,"Solid",1,"","","","","","2","28"
"59","","","","","171717",1,"Solid",1,"","","","","","2","29"
"60","","","","","171717",1,"Solid",1,"","","","","","2","30"
"61","","","","","171717",1,"Solid",1,"","","","","","2","31"
