Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Human Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"2","Systematic Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"3","Osteology","","","","F44336",1,"Ball","5","","","","No","","",""
"4","Syndesmology","","","","F44336",1,"Ball","5","","","","No","","",""
"5","Myology","","","","F44336",1,"Ball","5","","","","No","","",""
"6","Angiology","","","","F44336",1,"Ball","5","","","","No","","",""
"7","Neurology","","","","F44336",1,"Ball","5","","","","No","","",""
"8","Splanchnology","","","","F44336",1,"Ball","5","","","","No","","",""
"9","Thoracic Viscera","","","","F44336",1,"Ball","5","","","","No","","",""
"10","Abdomino-Pelvic Viscera","","","","F44336",1,"Ball","5","","","","No","","",""
"11","Respiratory Apparatus","","","","F44336",1,"Ball","5","","","","No","","",""
"12","Digestive Apparatus","","","","F44336",1,"Ball","5","","","","No","","",""
"13","Urogenital Apparatus","","","","F44336",1,"Ball","5","","","","No","","",""
"14","Histology","","","","F44336",1,"Ball","5","","","","No","","",""
"15","Embryology","","","","F44336",1,"Ball","5","","","","No","","",""
"16","Comparative Embryology","","","","F44336",1,"Ball","5","","","","No","","",""
"17","Comparative Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"18","Applied Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"19","Surface Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"20","","","","","171717",1,"Solid",1,"","","","","","1","2"
"21","","","","","171717",1,"Solid",1,"","","","","","2","3"
"22","","","","","171717",1,"Solid",1,"","","","","","2","4"
"23","","","","","171717",1,"Solid",1,"","","","","","2","5"
"24","","","","","171717",1,"Solid",1,"","","","","","2","6"
"25","","","","","171717",1,"Solid",1,"","","","","","2","7"
"26","","","","","171717",1,"Solid",1,"","","","","","2","8"
"27","","","","","171717",1,"Solid",1,"","","","","","8","9"
"28","","","","","171717",1,"Solid",1,"","","","","","8","10"
"29","","","","","171717",1,"Solid",1,"","","","","","10","11"
"30","","","","","171717",1,"Solid",1,"","","","","","10","12"
"31","","","","","171717",1,"Solid",1,"","","","","","10","13"
"32","","","","","171717",1,"Solid",1,"","","","","","1","14"
"33","","","","","171717",1,"Solid",1,"","","","","","1","15"
"34","","","","","171717",1,"Solid",1,"","","","","","15","16"
"35","","","","","171717",1,"Solid",1,"","","","","","15","17"
"36","","","","","171717",1,"Solid",1,"","","","","","1","18"
"37","","","","","171717",1,"Solid",1,"","","","","","1","19"
