Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Embryology","","","","E91E63",1,"Box","15",1.4358685885552651,-1.3442779621190504,1.998899705429575,"No","","",""
"4","Vertebrate Animals","","","","FFEB3B",1,"Ball","14.5",0.9942906994053211,-1.4351851023665363,2.4431092410419235,"No","","",""
"3","Phylogeny","","","","FFEB3B",1,"Ball","14.5",2,-1.1988139670252864,2.123435551375613,"No","","",""
"2","Ontogeny","","","","FFEB3B",1,"Ball","14.5",1.405063060007624,-1.1650354527957338,1.480509615032743,"No","","",""
"10","Development of Human Body","","","","4CAF50",1,"Ball","14",1.2313335701259147,-0.849111354274941,0.9779709933657041,"No","","",""
"5","Fertilization","","","","4CAF50",1,"Ball","14",0.391549945127712,-1.4090399243775649,2.8075173773403637,"No","","",""
"11","Animal Cell","","","","00BCD4",1,"Ball","13.5",1.009998367323766,-0.3945643940024153,0.5516258178001292,"No","","",""
"7","Differentiation","","","","00BCD4",1,"Ball","13.5",-0.4299708873118743,-1.288273191064627,2.9580846082406653,"No","","",""
"6","Segmentation","","","","00BCD4",1,"Ball","13.5",0.4614060805276847,-0.8946335144996258,3,"No","","",""
"13","Nucleus","","","","F44336",1,"Ball","13",1.032471015394902,0.34149114579853057,0.3472950606961622,"No","","",""
"12","Cytoplasm","","","","F44336",1,"Ball","13",0.6006668857243205,-0.6529646207036568,0.31126019122367043,"No","","",""
"9","Germinal Cells","","","","F44336",1,"Ball","13",-0.8117205559757796,-0.8007467920329435,2.9718694002906605,"No","","",""
"8","Somatic Cells","","","","F44336",1,"Ball","13",-1,-1.5,2.9256063562729384,"No","","",""
"14","Cell Reproduction","","","","CB36F4",1,"Ball","12.5",1.1688317722751917,1.0783201141884509,0.24436625876732365,"No","","",""
"16","Indirect Division","","","","F4A836",1,"Ball","12",1.3645381540128794,1.5,0,"No","","",""
"15","Direct Division","","","","F4A836",1,"Ball","12",1.4787924758765554,1.4799832906989927,0.4560861524139689,"No","","",""
"17","","","","","D7D7D7",1,"Solid",3,"","","","","","1","4"
"18","","","","","D7D7D7",1,"Solid",3,"","","","","","1","3"
"19","","","","","D7D7D7",1,"Solid",3,"","","","","","1","2"
"20","","","","","D7D7D7",1,"Solid",3,"","","","","","2","10"
"21","","","","","D7D7D7",1,"Solid",3,"","","","","","4","5"
"22","","","","","D7D7D7",1,"Solid",3,"","","","","","10","11"
"23","","","","","D7D7D7",1,"Solid",3,"","","","","","5","7"
"24","","","","","D7D7D7",1,"Solid",3,"","","","","","5","6"
"25","","","","","D7D7D7",1,"Solid",3,"","","","","","11","13"
"26","","","","","D7D7D7",1,"Solid",3,"","","","","","11","12"
"27","","","","","D7D7D7",1,"Solid",3,"","","","","","7","9"
"28","","","","","D7D7D7",1,"Solid",3,"","","","","","7","8"
"29","","","","","D7D7D7",1,"Solid",3,"","","","","","13","14"
"30","","","","","D7D7D7",1,"Solid",3,"","","","","","14","16"
"31","","","","","D7D7D7",1,"Solid",3,"","","","","","14","15"
