Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Embryology","","","","E91E63",1,"Box","15",0.7992162112235093,0.07403884555506623,1.778321895333061,"No","","",""
"4","The Animal Cell","","","","FFEB3B",1,"Ball","14.5",1.0084730256978753,-0.415461406035869,0.6484510785624451,"No","","",""
"3","Human Embryology","","","","FFEB3B",1,"Ball","14.5",-0.23948183815583424,0.6817185317487819,1.8721696305593127,"No","","",""
"2","Development of Vertebrate Animals","","","","FFEB3B",1,"Ball","14.5",0.9072308321938705,-0.8233093034256248,2.4786596973574078,"No","","",""
"1.2","Phylogeny","","","","FFEB3B",1,"Ball","14.5",1.467409738735861,0.9259540061299072,2.103196401800637,"No","","",""
"1.1","Ontogeny","","","","FFEB3B",1,"Ball","14.5",1.6399263547303993,0.10694810512665498,2.13795678918531,"No","","",""
"9","Process of Indirect Cell Division","","","","4CAF50",1,"Ball","14",1.2301840943559252,-0.7901607972623033,0,"No","","",""
"8","Reproduction of Cells","","","","4CAF50",1,"Ball","14",1.8585994828614072,-0.886711323998968,0.5660769350915456,"No","","",""
"7","Centrosome and Centriole","","","","4CAF50",1,"Ball","14",1.7534914791035563,-0.08209694462695527,0.23008899731314236,"No","","",""
"6","Nucleus","","","","4CAF50",1,"Ball","14",0.6999472095993771,-1.1561108082945668,0.5567650469805461,"No","","",""
"5","Cytoplasm (protoplasm)","","","","4CAF50",1,"Ball","14",0.05910203829538152,-0.5936123306912531,0.35172180365976974,"No","","",""
"4.1","Definition of a cell","","","","4CAF50",1,"Ball","14",0.6681174830895136,-0.08175728877524246,0.02850699959705157,"No","","",""
"3.1","Limitations of this work","","","","4CAF50",1,"Ball","14",-1,1.189956396084157,2.009271146265646,"No","","",""
"2.2","Segmentation and Differentiation","","","","4CAF50",1,"Ball","14",1.3975362960236093,-1.2119752952001042,3,"No","","",""
"2.1","Fertilization","","","","4CAF50",1,"Ball","14",0.5485907272633288,-1.5,2.675219474458285,"No","","",""
"1.2.1","Evolutionary history of the animal kingdom","","","","4CAF50",1,"Ball","14",2,1.5,2.468864505157218,"No","","",""
"17","","","","","D7D7D7",1,"Solid",6,"","","","","","1","4"
"18","","","","","D7D7D7",1,"Solid",6,"","","","","","1","3"
"19","","","","","D7D7D7",1,"Solid",6,"","","","","","1","2"
"20","","","","","D7D7D7",1,"Solid",6,"","","","","","1","1.2"
"21","","","","","D7D7D7",1,"Solid",6,"","","","","","1","1.1"
"22","","","","","D7D7D7",1,"Solid",6,"","","","","","4","9"
"23","","","","","D7D7D7",1,"Solid",6,"","","","","","4","8"
"24","","","","","D7D7D7",1,"Solid",6,"","","","","","4","7"
"25","","","","","D7D7D7",1,"Solid",6,"","","","","","4","6"
"26","","","","","D7D7D7",1,"Solid",6,"","","","","","4","5"
"27","","","","","D7D7D7",1,"Solid",6,"","","","","","4","4.1"
"28","","","","","D7D7D7",1,"Solid",6,"","","","","","3","3.1"
"29","","","","","D7D7D7",1,"Solid",6,"","","","","","2","2.2"
"30","","","","","D7D7D7",1,"Solid",6,"","","","","","2","2.1"
"31","","","","","D7D7D7",1,"Solid",6,"","","","","","1.2","1.2.1"
