Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Embryology","","","","E91E63",1,"Box","15",1.0426746439167505,0.2095269806615243,1.7122678430788933,"No","","",""
"9","Animal Cell","","","","FFEB3B",1,"Ball","14.5",0.9980348128010463,-0.363846404555636,1.153540019650171,"No","","",""
"4","Fertilization","","","","FFEB3B",1,"Ball","14.5",0.5063150002896191,0.7095244964021794,2.2250510310006737,"No","","",""
"3","Phylogeny","","","","FFEB3B",1,"Ball","14.5",1.923535719284879,0.12558600870916292,2.00879472816607,"No","","",""
"2","Ontogeny","","","","FFEB3B",1,"Ball","14.5",2,0.4127208561464881,1.5636532199687023,"No","","",""
"13","Cell reproduction","","","","4CAF50",1,"Ball","14",0.8017548885232146,-1.058767537792615,1.2314516600792378,"No","","",""
"10","Cell structure","","","","4CAF50",1,"Ball","14",1.0630777016761392,-0.19646489977596993,0.4182284292896794,"No","","",""
"6","Differentiation of cells","","","","4CAF50",1,"Ball","14",-0.3590976920614808,1.1141724105165598,2.6088097328906943,"No","","",""
"5","Segmentation","","","","4CAF50",1,"Ball","14",1.240493353899975,0.8555094808263304,2.5476532806939454,"No","","",""
"19","Telophase","","","","00BCD4",1,"Ball","13.5",1.6699333931497384,-1.2506837096271908,1.4978621976656243,"No","","",""
"18","Anaphase","","","","00BCD4",1,"Ball","13.5",0.3651768073358572,-1.452996311856052,1.4657497610356325,"No","","",""
"17","Metaphase","","","","00BCD4",1,"Ball","13.5",-0.26309112557758174,-1.2051598524041007,1.0637286597057145,"No","","",""
"16","Prophase","","","","00BCD4",1,"Ball","13.5",0.7743076244651421,-1.31601550506389,0.8146236970501554,"No","","",""
"15","Indirect division","","","","00BCD4",1,"Ball","13.5",1.2371223360563461,-1.5,1.164233146170984,"No","","",""
"14","Direct division","","","","00BCD4",1,"Ball","13.5",0.02883704857564373,-1.0738598793822733,1.6022030379434968,"No","","",""
"12","Cytoplasm","","","","00BCD4",1,"Ball","13.5",0.42040787891567377,-0.11845973225647644,0.02088929174303448,"No","","",""
"11","Nucleus","","","","00BCD4",1,"Ball","13.5",1.6383718434137848,-0.13222615070413735,0,"No","","",""
"8","Germinal cells","","","","00BCD4",1,"Ball","13.5",-1,1.1450561716264898,3,"No","","",""
"7","Somatic cells","","","","00BCD4",1,"Ball","13.5",-0.8912562497009271,1.5,2.57216596645466,"No","","",""
"20","","","","","D7D7D7",1,"Solid",3,"","","","","","1","9"
"21","","","","","D7D7D7",1,"Solid",3,"","","","","","1","4"
"22","","","","","D7D7D7",1,"Solid",3,"","","","","","1","3"
"23","","","","","D7D7D7",1,"Solid",3,"","","","","","1","2"
"24","","","","","D7D7D7",1,"Solid",3,"","","","","","9","13"
"25","","","","","D7D7D7",1,"Solid",3,"","","","","","9","10"
"26","","","","","D7D7D7",1,"Solid",3,"","","","","","4","6"
"27","","","","","D7D7D7",1,"Solid",3,"","","","","","4","5"
"28","","","","","D7D7D7",1,"Solid",3,"","","","","","13","19"
"29","","","","","D7D7D7",1,"Solid",3,"","","","","","13","18"
"30","","","","","D7D7D7",1,"Solid",3,"","","","","","13","17"
"31","","","","","D7D7D7",1,"Solid",3,"","","","","","13","16"
"32","","","","","D7D7D7",1,"Solid",3,"","","","","","13","15"
"33","","","","","D7D7D7",1,"Solid",3,"","","","","","13","14"
"34","","","","","D7D7D7",1,"Solid",3,"","","","","","10","12"
"35","","","","","D7D7D7",1,"Solid",3,"","","","","","10","11"
"36","","","","","D7D7D7",1,"Solid",3,"","","","","","6","8"
"37","","","","","D7D7D7",1,"Solid",3,"","","","","","6","7"
