Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Charles Darwin","","","","F44336",1,"Ball","5","","","","No","","",""
"2","Origin of Species","","","","F44336",1,"Ball","5","","","","No","","",""
"3","Theory Shook World","","","","F44336",1,"Ball","5","","","","No","","",""
"4","Fundamentals","","","","F44336",1,"Ball","5","","","","No","","",""
"5","Natural Selection","","","","F44336",1,"Ball","5","","","","No","","",""
"6","Variability","","","","F44336",1,"Ball","5","","","","No","","",""
"7","Genetic Heritability","","","","F44336",1,"Ball","5","","","","No","","",""
"8","Diff. Reproductive Success","","","","F44336",1,"Ball","5","","","","No","","",""
"9","Negative Selection","","","","F44336",1,"Ball","5","","","","No","","",""
"10","Adaptation","","","","F44336",1,"Ball","5","","","","No","","",""
"11","Climate Change","","","","F44336",1,"Ball","5","","","","No","","",""
"12","Evolution Nutshell","","","","F44336",1,"Ball","5","","","","No","","",""
"13","Human Body","","","","F44336",1,"Ball","5","","","","No","","",""
"14","","","","","171717",1,"Solid",1,"","","","","","1","2"
"15","","","","","171717",1,"Solid",1,"","","","","","2","3"
"16","","","","","171717",1,"Solid",1,"","","","","","3","4"
"17","","","","","171717",1,"Solid",1,"","","","","","4","5"
"18","","","","","171717",1,"Solid",1,"","","","","","5","6"
"19","","","","","171717",1,"Solid",1,"","","","","","5","7"
"20","","","","","171717",1,"Solid",1,"","","","","","5","8"
"21","","","","","171717",1,"Solid",1,"","","","","","5","9"
"22","","","","","171717",1,"Solid",1,"","","","","","5","10"
"23","","","","","171717",1,"Solid",1,"","","","","","10","11"
"24","","","","","171717",1,"Solid",1,"","","","","","11","12"
"25","","","","","171717",1,"Solid",1,"","","","","","12","13"
